
=== MEMORY LOOP - FRAMEWORK BACKEND CLI ===
(i) Audit statique AST de tous les modules sous src/...
(i) [PASS] src/core/herdr_agents.py (208 lignes, 1.4ms)
(i) [PASS] src/core/herdr_core.py (126 lignes, 1.1ms)
(i) [PASS] src/core/herdr_daemon.py (101 lignes, 0.8ms)
(i) [PASS] src/core/herdr_panes.py (194 lignes, 1.6ms)
(i) [PASS] src/core/herdr_worker.py (106 lignes, 1.0ms)
(i) [PASS] src/core/hooks.py (23 lignes, 0.5ms)
(i) [PASS] src/core/layout.py (140 lignes, 1.3ms)
(i) [PASS] src/core/lod_generator.py (290 lignes, 1.8ms)
(i) [PASS] src/core/rule_engine.py (102 lignes, 0.9ms)
(i) [PASS] src/core/safe_exec.py (59 lignes, 0.6ms)
(i) [PASS] src/core/semantic_cache.py (226 lignes, 1.4ms)
(i) [PASS] src/core/skill_impact_tracker.py (199 lignes, 1.4ms)
(i) [PASS] src/core/skill_registry.py (182 lignes, 1.0ms)
(i) [PASS] src/core/tdd_enforcer.py (276 lignes, 2.3ms)
(i) [PASS] src/core/worker_runtimes.py (147 lignes, 0.9ms)
(i) [PASS] src/core/worker_signal.py (269 lignes, 1.7ms)
(i) [PASS] src/core/_lod_split.py (58 lignes, 0.7ms)
(i) [PASS] src/daemon/app_server.py (117 lignes, 1.0ms)
(i) [PASS] src/daemon/__init__.py (3 lignes, 0.2ms)
(i) [PASS] src/dashboard/cache.py (50 lignes, 0.5ms)
(i) [PASS] src/dashboard/module_utils.py (223 lignes, 1.4ms)
(i) [PASS] src/dashboard/project_utils.py (274 lignes, 1.7ms)
(i) [PASS] src/dashboard/runner.py (69 lignes, 0.6ms)
(i) [PASS] src/dashboard/_module_metadata.py (106 lignes, 0.9ms)
(i) [PASS] src/dashboard/__init__.py (1 lignes, 0.3ms)
(i) [PASS] src/dashboard/routers/database.py (275 lignes, 2.7ms)
(i) [PASS] src/dashboard/routers/drawdb.py (280 lignes, 1.6ms)
(i) [PASS] src/dashboard/routers/dream_rsi.py (194 lignes, 1.3ms)
(i) [PASS] src/dashboard/routers/governance.py (102 lignes, 1.0ms)
(i) [PASS] src/dashboard/routers/overview.py (227 lignes, 1.6ms)
(i) [PASS] src/dashboard/routers/resilience.py (78 lignes, 0.7ms)
(i) [PASS] src/dashboard/routers/swarm.py (158 lignes, 1.1ms)
(i) [PASS] src/dashboard/routers/traces.py (124 lignes, 1.2ms)
(i) [PASS] src/dashboard/routers/_drawdb_core.py (99 lignes, 0.8ms)
(i) [PASS] src/dashboard/routers/__init__.py (3 lignes, 0.2ms)
(i) [PASS] src/engine/agent_graph.py (173 lignes, 1.1ms)
(i) [PASS] src/engine/guardian.py (176 lignes, 1.0ms)
(i) [PASS] src/engine/invest_evaluator.py (154 lignes, 0.9ms)
(i) [PASS] src/engine/artifacts/boundary_wrapper.py (208 lignes, 1.7ms)
(i) [PASS] src/engine/artifacts/bus.py (240 lignes, 2.1ms)
(i) [PASS] src/engine/artifacts/__init__.py (25 lignes, 0.4ms)
(i) [PASS] src/engine/context/fragment.py (96 lignes, 0.7ms)
(i) [PASS] src/engine/context/__init__.py (3 lignes, 0.2ms)
(i) [PASS] src/engine/deep_search/causal_proxy.py (142 lignes, 1.0ms)
(i) [PASS] src/engine/deep_search/pipeline.py (266 lignes, 2.7ms)
(i) [PASS] src/engine/deep_search/__init__.py (7 lignes, 0.3ms)
(i) [PASS] src/engine/fact_check/certificate.py (218 lignes, 1.5ms)
(i) [PASS] src/engine/fact_check/claim_extractor.py (194 lignes, 1.4ms)
(i) [PASS] src/engine/fact_check/nli_verifier.py (284 lignes, 1.9ms)
(i) [PASS] src/engine/fact_check/__init__.py (85 lignes, 0.7ms)
(i) [PASS] src/engine/fact_search/chunker.py (220 lignes, 1.4ms)
(i) [PASS] src/engine/fact_search/contextualizer.py (78 lignes, 0.7ms)
(i) [PASS] src/engine/fact_search/coverage.py (144 lignes, 1.0ms)
(i) [PASS] src/engine/fact_search/indexer.py (283 lignes, 2.2ms)
--- AUDIT AST : src/state.py ---
Statut : [FAIL] VIOLATIONS | 770 lignes | 31858 octets | 5.73 ms
Violations relev├®es :
  * [RULE-AST-01] (L770) : Plafond modulaire d├®pass├® : 770 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L770) : Taille de fichier excessive : 31858 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/bridges/drawdb_bridge.py ---
Statut : [FAIL] VIOLATIONS | 465 lignes | 17920 octets | 4.29 ms
Violations relev├®es :
  * [RULE-AST-01] (L465) : Plafond modulaire d├®pass├® : 465 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L465) : Taille de fichier excessive : 17920 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/bridges/mcp_graphify.py ---
Statut : [FAIL] VIOLATIONS | 323 lignes | 11661 octets | 2.46 ms
Violations relev├®es :
  * [RULE-AST-01] (L323) : Plafond modulaire d├®pass├® : 323 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
--- AUDIT AST : src/bridges/mcp_herdr.py ---
Statut : [FAIL] VIOLATIONS | 581 lignes | 24271 octets | 3.08 ms
Violations relev├®es :
  * [RULE-AST-01] (L581) : Plafond modulaire d├®pass├® : 581 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L581) : Taille de fichier excessive : 24271 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/bridges/mcp_proxy_router.py ---
Statut : [FAIL] VIOLATIONS | 366 lignes | 13842 octets | 1.82 ms
Violations relev├®es :
  * [RULE-AST-01] (L366) : Plafond modulaire d├®pass├® : 366 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
--- AUDIT AST : src/commands/_registry.py ---
Statut : [FAIL] VIOLATIONS | 2028 lignes | 74900 octets | 6.39 ms
Violations relev├®es :
  * [RULE-AST-01] (L2028) : Plafond modulaire d├®pass├® : 2028 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L2028) : Taille de fichier excessive : 74900 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/converters/svg_to_md.py ---
Statut : [FAIL] VIOLATIONS | 991 lignes | 38720 octets | 7.58 ms
Violations relev├®es :
  * [RULE-AST-01] (L991) : Plafond modulaire d├®pass├® : 991 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L991) : Taille de fichier excessive : 38720 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/core/declarative_extractor.py ---
Statut : [FAIL] VIOLATIONS | 343 lignes | 16287 octets | 3.43 ms
Violations relev├®es :
  * [RULE-AST-01] (L343) : Plafond modulaire d├®pass├® : 343 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L343) : Taille de fichier excessive : 16287 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/core/gates.py ---
Statut : [FAIL] VIOLATIONS | 747 lignes | 27047 octets | 5.38 ms
Violations relev├®es :
  * [RULE-AST-01] (L747) : Plafond modulaire d├®pass├® : 747 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L747) : Taille de fichier excessive : 27047 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/core/herdr_worker_core.py ---
Statut : [FAIL] VIOLATIONS | 381 lignes | 14948 octets | 3.00 ms
Violations relev├®es :
  * [RULE-AST-01] (L381) : Plafond modulaire d├®pass├® : 381 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
